,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops
JBYKW1ZEt_lryYanq2O-_A,Dunkin',263 White Horse Pike N,Lawnside,NJ,39.8698940719,-75.04216336,3.5,10,"Restaurants, Donuts, Coffee & Tea, Bakeries, Food",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
hOCBl_QltuMzYOcb2juGoQ,Chopstix House,249 White Horse Pike N,Lawnside,NJ,39.8698308907,-75.0420139133,4.0,36,"Restaurants, Japanese, Sushi Bars, Asian Fusion, Chinese, Thai, Noodles",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
yFrX5aM1_mKdRb9s4fQSMw,Wawa,280 White Horse Pike,Barrington,NJ,39.871766,-75.045256,3.5,7,"Food, Restaurants, Sandwiches, Coffee & Tea, Convenience Stores, Gas Stations, Automotive",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MuOqS6eZSBdvbSaiE_5d7g,Vito's Pizza N' Sub Shop,113 Clements Bridge Rd,Barrington,NJ,39.8731156781,-75.0510535679,3.5,21,"Restaurants, Seafood, Pizza, Cheesesteaks, Gluten-Free, Food, Salad, Sandwiches, Italian",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
qI7j_4UGb3w6f9j5c7lC6Q,Mister Softee,901 E Clements Bridge Rd,Runnemede,NJ,39.858601,-75.063208,4.0,136,"Ice Cream & Frozen Yogurt, Restaurants, Food Stands, Food, Food Trucks",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
wtaBPP6fCHU4nvar9fKeuQ,"Chuck Lager, America's Tavern",270 White Horse Pike,Barrington,NJ,39.8725486282,-75.0463546729,4.0,25,"Event Planning & Services, American (New), Fish & Chips, Burgers, Restaurants, Venues & Event Spaces",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AP6BBC-ZM4ngscU7p4Bnxg,Old Rail Tavern,101 Clements Bridge Rd,Barrington,NJ,39.8736521,-75.0508703,4.0,56,"Nightlife, Sports Bars, Restaurants, Pizza, Chicken Wings, Bars",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
l920q9aMfPWJ0Jq11rkfkQ,Chick-fil-A,301 White Horse Pike,Barrington,NJ,39.8725900065,-75.0451647776,5.0,5,"Fast Food, Event Planning & Services, Caterers, Chicken Shop, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oeOKkk67d3NTCXl24HOp2w,State of New Jersey Motor Vehicle Comission,"835 E Clements Bridge Rd, Runnemede Plaza",Runnemede,NJ,39.8571254549,-75.0635956155,2.5,19,"Public Services & Government, Restaurants, Pizza, Departments of Motor Vehicles",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
StlMQ9_9Vk5vH2BHKaQRaA,Oishi Sushi Japanese & Chinese Food,"835 E Clements Bridge Rd, Ste 6",Runnemede,NJ,39.8571666,-75.0637612,4.0,11,"Japanese, Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
X0hWkMBvDTPz2oJwkHajmg,Carosello Pizza & Pasta,835 E Clements Bridge Rd,Runnemede,NJ,39.8571666,-75.0637612,4.0,15,"Beauty & Spas, Restaurants, Italian, Nail Salons, Sandwiches, Pizza",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TJ4tXO0qGsLwyxTaj_Jspw,Wok 'N Roll,807 W Evesham Ave,Magnolia,NJ,39.8510878,-75.0484426,3.5,32,"Seafood, Restaurants, Soup, Chinese",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
crBJJE22QaFc2_Q49hbeLA,Arby's,804 White Horse Pike N,Magnolia,NJ,39.862618,-75.0353422,2.5,11,"Restaurants, Sandwiches, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5LMTmQJBxP9aONuu8KhLbw,McDonald's,700 White Hourse Pike N,Magnolia,NJ,39.862328,-75.033963,2.5,15,"Restaurants, Coffee & Tea, Food, Burgers, Fast Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lNOab7pDoLn6tVkksgKQYQ,La Matta Pizza,681 E Evesham Rd,Runnemede,NJ,39.8492852,-75.0573273,2.5,25,"Pizza, Restaurants, Wraps, Chicken Wings, Italian",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
av9TaTSDj96rDEeL5G8N8g,Wawa,101 Warwick Rd,Magnolia,NJ,39.8547141,-75.0322281,3.5,5,"Food, Restaurants, Delis, Sandwiches, Coffee & Tea, Convenience Stores",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WnMl9qwB4CGhm-ToOwClvw,MAMA's Indian Kitchen & Food Mart,331 White Horse Pike N,Magnolia,NJ,39.858725,-75.029691,4.5,13,"Billing Services, Professional Services, Restaurants, Indian, Convenience Stores, Food, Financial Services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TaYJfvjk0kLMnS-gQd28bw,Dominic's Tavern,100 E Browning Rd,Bellmawr,NJ,39.8655982,-75.0746134,4.0,151,"Restaurants, Bars, Pubs, Nightlife, American (New)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OcPVoTYp3x-Dc1ZmIQ4lcQ,Fratelli's Pizza,307 E Evesham Rd,Runnemede,NJ,39.8471253,-75.0633138,2.5,33,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RmGrmzGAx7bmCa4t3T1YEg,Super Wok,517 N Warwick Rd,Somerdale,NJ,39.8505193,-75.032769,3.0,5,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-dlU_Vr-5-szuLZteMWy6A,Little Sicily,513 Warwick Rd,Somerdale,NJ,39.850398,-75.032795,3.5,23,"Restaurants, Sandwiches, Pizza, Chicken Wings, Specialty Food, Event Planning & Services, Caterers, Food",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
RsGp61dhtKNonHqaUQQniw,Somerdale Cold Cuts,501 Warwick Rd,Somerdale,NJ,39.850103,-75.032732,4.5,26,"Restaurants, Delis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9tS0_GDrcNveAbSCuDTFnA,Jane's Tea House,602 Station Ave,Haddon Heights,NJ,39.8819668,-75.0587901,4.5,23,"Tea Rooms, Breakfast & Brunch, Restaurants, Food",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
dWOSZcAEt3sRXshh4Z8KGw,El Tequila,801 N Black Horse Pike,Runnemede,NJ,39.8557399,-75.075556,4.0,67,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
frjcpNfDx3dnCi-8YCVXVQ,Wawa,825 North Black Horse Pk,Runnemede,NJ,39.8563548,-75.0758526,4.0,19,"Convenience Stores, Restaurants, Sandwiches, Coffee & Tea, Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lTkkSkvVhJIbHqVJKv6w9w,Classic Asia,611 Station Ave,Haddon Heights,NJ,39.882151,-75.059349,4.5,53,"Restaurants, Asian Fusion, Chinese, Japanese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10Bq-D7cUzwvY5pUJPWhmw,Ralph's Pizza & Francesca's Room,520 Station Ave,Haddon Heights,NJ,39.882583,-75.0577742,4.0,39,"Sandwiches, Restaurants, Pizza, Italian",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TyG_RravUK9gbpj3G5PNyQ,Ephesus Grill,304 E Evesham Rd,Glendora,NJ,39.845865,-75.065451,4.5,35,"Restaurants, Mediterranean",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5Kn1o2ryylzHMQVNFy5pyA,Anthony's Creative Italian Cuisine,512 Station Ave,Haddon Heights,NJ,39.8827732,-75.057487,4.0,64,"Italian, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WdUiTm8EZ6l9ukq9Hh32PA,Trouble Brewing Coffee House,514 Station Ave,Haddon Heights,NJ,39.8827441513,-75.0576453715,4.5,33,"Cafes, Coffee & Tea, Waffles, Sandwiches, Breakfast & Brunch, Restaurants, Food",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
uoUZ8Wx7Aw7Nj6QIxaCjew,The Avocado Mexican Grill,603 N Black Horse Pike,Runnemede,NJ,39.8539237,-75.0749525,4.0,20,"Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EYZZlLKrLIh4WWUPFmXxpg,Carmen's Deli,42 E Browning Rd,Bellmawr,NJ,39.8662282,-75.0774038,4.0,151,"Event Planning & Services, Salad, Sandwiches, Restaurants, Caterers, Delis",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
uuONmQ_R345NlJp_oM7jaA,The Mile,212 N Black Horse Pike,Runnemede,NJ,39.851514,-75.0733203,3.5,66,"Pubs, Restaurants, American (New), Bars, Nightlife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HwO0dgp-2mv8EZqI4eWi9w,Ginza Japanese & Asian Restaurant,327 N Black Horse Pike,Runnemede,NJ,39.8517756,-75.0738671,3.5,61,"Japanese, Restaurants, Chinese, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
eit5kQ26NlqvwSPj-nz30Q,Pat's Pizzeria,325 N Black Horse Pike,Runnemede,NJ,39.8519102,-75.0741872,2.5,12,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28kRRxTUSYpWncMGIDHpFA,Wendy's,300 South Blackhorse Pike,Bellmawr,NJ,39.8634027259,-75.0784824184,2.5,9,"Fast Food, Burgers, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yq6QpxblbjGnqmEeeukfYg,Yummy Yummy,115 S Black Horse Pike,Bellmawr,NJ,39.8653498,-75.0784989,4.0,26,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GOiJUF6wW5ugXd_4u4lKpA,Redhouse Bagels - Bellmawr,115 S Black Horse Pike,Bellmawr,NJ,39.8653498,-75.0784989,4.0,25,"Breakfast & Brunch, Sandwiches, Restaurants, Food, Bagels",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3EXrZSNJd7RlEHYWP6Xsuw,San Pedro Tierra Mexican,115 S Black Horse Pike,Bellmawr,NJ,39.8653498,-75.0784989,4.0,40,"Mexican, Restaurants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
yb_vFGYFUMh2aA4UHnSseA,Marino's Pizza,100 N Black Horse Pike,Runnemede,NJ,39.8501052,-75.073006,4.5,55,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
