,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops
2mBzfKvAM4kSU6Gm9WS7lg,d4 Tabletop Gaming Cafe,8228 Oak St,New Orleans,LA,29.9484004543,-90.1312233653,5.0,8,"Food, Sandwiches, Delis, Themed Cafes, Cafes, Coffee & Tea, Shopping, Tabletop Games, Restaurants",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
asNmnXz9rT7JpJuvuX408w,Subway,"1201 Jefferson Hwy, Ste C",Jefferson,LA,29.9628202,-90.1423646,4.0,6,"Restaurants, Sandwiches, Fast Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ifC2ha-7HZt4xKUVou6wTw,Grounded Coffee Cafe,1204 Jefferson Hwy,Jefferson,LA,29.9621315,-90.142493,4.5,25,"Sandwiches, Restaurants, Food, Breakfast & Brunch, Coffee & Tea, Cafes",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
s4JWixWbeLhyUw1pEI2Cfg,Loya's Mexican Restaurant,3102 Fern St,New Orleans,LA,29.9603554,-90.112916,4.5,17,"Restaurants, Salad, Mexican",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
xFk0apIOljR2DL5Zj-VNOA,Chinese American Cafe,1228 Jefferson Hwy,New Orleans,LA,29.962097,-90.1428072,3.5,34,"Restaurants, Chinese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhj9KWNqKnEAb55-94ZzfA,Live Oak Cafe,8140 Oak St,New Orleans,LA,29.9478968,-90.1306942,4.0,197,"Restaurants, Sandwiches, Breakfast & Brunch, Arts & Entertainment, Comfort Food, Music Venues, Cafes, Southern, Nightlife",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
wXyHGKmlvQUBGexb2my0JQ,Tru Burger,8115 Oak St,New Orleans,LA,29.9477866,-90.130095,3.5,244,"Burgers, American (Traditional), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2MHNvEPEGxvBxZLXM5ESpg,Pho Bistreaux,"1200 S Carrollton Ave, Ste A",New Orleans,LA,29.9475543,-90.1297535,4.5,268,"Restaurants, Food, Vietnamese",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cpsdgiE7hmOw8UtymGTkCQ,Oak,8118 Oak St,New Orleans,LA,29.9475942,-90.1303617,4.0,125,"Beer, Wine & Spirits, Bars, Tapas Bars, Restaurants, Food, Nightlife, Wine Bars",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
FSvFk1lWR0YBYP_-L_iLTQ,Rue De La Course,1140 S Carrollton Ave,New Orleans,LA,29.9473419,-90.1299849,3.5,255,"Coffee & Tea, Restaurants, Food",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ujM10t6IRJGA2I5mYpd8XQ,El Taco Loco,1120 S Carrollton Ave,New Orleans,LA,29.9472200137,-90.1303499937,4.5,124,"Tacos, Restaurants, Mexican",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82_lGisVlstS_ojKZw9qNw,CIBO,"1114 S Carrolton Ave, Ste A",New Orleans,LA,29.947222,-90.130478,5.0,132,"Delis, Italian, Restaurants",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
854d-ziK_hQFmbNdvF3ZsA,LUCA eats,7329 Cohn St,New Orleans,LA,29.9487467933,-90.1199507258,4.5,166,"Cafes, American (Traditional), Breakfast & Brunch, Sandwiches, Restaurants, Coffee & Tea, Food",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
UxPNpzKEC4FpdidHz8MCcA,McDonald's,3443 S Carrollton,New Orleans,LA,29.963288674,-90.1118321,2.5,23,"Coffee & Tea, Food, Restaurants, Burgers, Fast Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lcTR-NewLIrTTYwyAJJzUg,Subway,"3502 S Carrollton Ave, Ste K",New Orleans,LA,29.9649693497,-90.1121672298,3.0,5,"Restaurants, Fast Food, Sandwiches",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUgIOkipkxvabF5jQCctVQ,Five Happiness Chinese Restaurant,3605 S Carrollton Ave,New Orleans,LA,29.964386,-90.110862,3.0,319,"Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EJeq9K5-ilBj8bSbCX4cMw,IHOP,3511 S Carrollton Ave,New Orleans,LA,29.9644,-90.1108,2.0,60,"American (New), Breakfast & Brunch, Burgers, American (Traditional), Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gPJINUjnBmnn8veAYMo8Zw,Adams Street Grocery & Deli,1309 Adams St,New Orleans,LA,29.9455586,-90.1253740811,4.5,94,"Restaurants, Sandwiches, Food, Delis, Grocery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NBnCQ51OSgf9RYEczzRKkw,Paella Nola,,New Orleans,LA,29.9450835,-90.1261013,5.0,6,"Spanish, Farmers Market, Food, Tapas/Small Plates, Caterers, Event Planning & Services, Restaurants",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
TMBbCDQG6bENJoQSST0XiA,Brigtsen's Restaurant,723 Dante St,New Orleans,LA,29.9456059,-90.1346452,4.5,335,"Restaurants, Cajun/Creole, Active Life, Southern",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6jKFWxE2fJIhfwbYgwqcfg,Barcelona Tapas,720 Dublin St,New Orleans,LA,29.9450458376,-90.1340996944,4.5,118,"Restaurants, Tapas/Small Plates, Spanish",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
