,business_id,name,address,city,state,latitude,longitude,ranking
22,X5RV5TndFtCJkeFZzTTb2Q,Miracles To Go,3040 Bruxelles St,New Orleans,LA,29.9889492019,-90.0717845363,27.0
5,3kc7vVRl845AknJtUqGRAg,Shawarma on the Go,3720 Magazine St,New Orleans,LA,29.921211,-90.093715,28.0
36,nk96iwJV1_p2HECYQW1ysA,French Quarter Phantoms,718 N Rampart St,New Orleans,LA,29.9607674,-90.0680859,29.0
43,sl13sdbDo_JqlllLtur-Qg,Calcasieu - Private Dining by Chef Donald Link,930 Tchoupitoulas St,New Orleans,LA,29.9422803,-90.0672755,30.0
30,hLlDzRaDGN-0SlEWk0xTpQ,Breads on Oak Cafe & Bakery,8640 Oak St,New Orleans,LA,29.95113,-90.1348639,31.0
2,1sr2QUShlkVk55LN4Ehkxw,Newton's Hot & Cold,509 Dumaine St,New Orleans,LA,29.9585520002,-90.0615679483,32.0
12,EONd-1BeBm04FBLvWe6KMQ,Bub’s Nola,4413 Banks St,New Orleans,LA,29.9746089,-90.1066355,33.0
47,z990Udv6oRgM9g0Ef9sQ7w,"Ms Linda Green ""Yakamein Lady""",,New Orleans,LA,29.9798109,-90.0793488,34.0
8,B4zE07aML4DoLFd8gMVMPQ,HEY Coffee Co.,2606 St Louis St,New Orleans,LA,29.9678617,-90.0835287,35.0
32,jKTWcdyXPw_cGUp9fKqapQ,Sneaky Pickle,3200 Burgundy St,New Orleans,LA,29.9648999,-90.0429541,36.0
27,b9d9X2yhzxSVEbz_JIY_uA,Zasu,127 N Carrollton Ave,New Orleans,LA,29.9753366,-90.10028,37.0
40,rvF-BwyaCHeb30u3Xf7FbQ,The Elysian Bar,2317 Burgundy St,New Orleans,LA,29.9668829,-90.0549542,38.0
13,EiyCdQjYboFVuHsVOoq4Fw,Latrobe's On Royal,403 Royal St,New Orleans,LA,29.9559008,-90.0669215,39.0
6,7gtWQMLOEwCxh1I5j6uB4g,St. James Cheese Company | Warehouse District,641 Tchoupitoulas St,New Orleans,LA,29.946736881,-90.0675191776,40.0
46,xXAWWlpXGlDfgGzy9TTJIw,Mr. Bubbles Cafe,"1441 Canal St, Ste 1",New Orleans,LA,29.9576357,-90.0747862,41.0
45,vZKDU7nRGB_5pzJGR12efw,French Truck Coffee,650 Poydras St,New Orleans,LA,29.9493022255,-90.0703399056,42.0
9,CRnqAB-ViEfQ0CQGOlEIeA,Bywater Bakery,3624 Dauphine St,New Orleans,LA,29.9629679,-90.0391981,43.0
15,Fs4T7lKpXVtD5Pz7jWSJeg,Coquette,2800 Magazine St,New Orleans,LA,29.9260125,-90.0825354,44.0
7,9XjXIqQFQ2SfeHTwPRngIA,Deville Coffee House & Crêperie,2045 Magazine St,New Orleans,LA,29.9305016165,-90.0755985251,45.0
31,inxUni-YJD5QvY-PF55cjg,Swiss Confectionery,3700 Orleans Ave,New Orleans,LA,29.976990999999998,-90.092955,46.0
38,r-4s-gfqw85G1O6cmgog7g,Rick's Grille,201 St Charles Ave,New Orleans,LA,29.9520367,-90.0703336,47.0
0,07D-uYB0PrSYUVpbKeojJA,Windsor Court Hotel,300 Gravier St,New Orleans,LA,29.94983947,-90.0664679724,48.0
25,aWrfoWJFBVQcgMVaD6Bvyw,Stop Jockin Snoballs,3600 St Bernard Ave,New Orleans,LA,29.9938121,-90.0783381,49.0
20,Sz1dRPQ_MrZx8dDIvnimzg,Bourbon & Bailey's BBQ,1015 N Claiborne Ave,New Orleans,LA,29.967018,-90.07136,50.0
